onset	duration	trial_type	stimuli_response	correct_answer	reaction_time
70.601	3.4	word	2	2	2.17
74.003	1.7	confidence	3	n/a	0.885
79.79	3.4	word	1	1	1.444
83.193	1.7	confidence	4	n/a	0.475
84.911	3.4	word	2	2	2.216
88.314	1.7	confidence	2	n/a	0.523
93.034	3.4	word	1	1	1.202
96.436	1.7	confidence	4	n/a	0.616
99.138	3.4	word	1	2	1.529
102.54	1.7	confidence	4	n/a	0.472
104.742	3.4	word	2	2	1.504
108.128	1.7	confidence	3	n/a	0.451
114.149	3.4	word	2	2	2.03
117.551	1.7	confidence	2	n/a	1.505
120.853	3.4	word	2	1	2.695
124.256	1.7	confidence	2	n/a	1.061
128.058	3.4	word	1	1	1.163
131.461	1.7	confidence	4	n/a	0.543
133.846	3.4	word	1	1	0.94
137.249	1.7	confidence	4	n/a	0.607
141.268	3.4	word	1	1	1.549
144.671	1.7	confidence	4	n/a	0.577
146.772	3.4	word	2	2	1.933
150.158	1.7	confidence	2	n/a	1.126
157.279	3.4	word	1	1	2.354
160.682	1.7	confidence	2	n/a	0.567
166.586	3.4	word	2	2	2.121
169.989	1.7	confidence	4	n/a	0.487
176.91	3.4	word	1	1	1.761
180.313	1.7	confidence	3	n/a	0.791
182.114	3.4	word	1	1	1.386
185.517	1.7	confidence	4	n/a	0.424
188.018	3.4	word	1	1	0.985
191.421	1.7	confidence	4	n/a	0.552
194.523	3.4	word	2	2	1.198
197.926	1.7	confidence	3	n/a	0.78
201.811	3.4	word	2	1	1.315
205.214	1.7	confidence	4	n/a	0.545
208.833	3.4	word	2	2	1.227
212.236	1.7	confidence	3	n/a	0.427
216.839	3.4	word	1	1	1.724
220.242	1.7	confidence	3	n/a	0.518
223.827	3.4	word	1	1	1.194
227.23	1.7	confidence	4	n/a	0.579
230.649	3.4	word	1	1	1.747
234.051	1.7	confidence	3	n/a	0.571
238.254	3.4	word	2	1	1.517
241.657	1.7	confidence	1	n/a	0.519
248.361	3.4	word	1	1	1.027
251.763	1.7	confidence	4	n/a	0.543
254.166	3.4	word	2	2	2.322
257.568	1.7	confidence	1	n/a	1.472
261.071	3.4	word	1	1	2.302
264.473	1.7	confidence	2	n/a	0.593
266.675	3.4	word	2	2	1.159
270.077	1.7	confidence	4	n/a	0.556
274.98	3.4	word	1	1	1.727
278.383	1.7	confidence	4	n/a	0.586
284.188	3.4	word	1	1	1.79
287.59	1.7	confidence	3	n/a	0.47
290.092	3.4	word	2	1	1.477
293.494	1.7	confidence	2	n/a	0.585
296.796	3.4	word	1	2	1.743
300.199	1.7	confidence	2	n/a	0.645
306.903	3.4	word	2	2	1.814
310.306	1.7	confidence	*	n/a	*
312.808	3.4	word	1	2	1.534
316.21	1.7	confidence	3	n/a	0.799
322.515	3.4	word	1	2	1.3
325.917	1.7	confidence	4	n/a	0.814
327.919	3.4	word	1	2	1.374
331.304	1.7	confidence	4	n/a	0.459
336.325	3.4	word	1	2	2.143
339.727	1.7	confidence	2	n/a	0.564
343.129	3.4	word	2	2	1.188
346.532	1.7	confidence	4	n/a	0.588
349.634	3.4	word	1	2	2.844
353.037	1.7	confidence	2	n/a	0.703
355.438	3.4	word	2	2	1.157
358.841	1.7	confidence	3	n/a	0.791
360.642	3.4	word	2	2	1.198
364.044	1.7	confidence	3	n/a	0.472
365.746	3.4	word	1	1	2.168
369.148	1.7	confidence	1	n/a	0.571
374.368	3.4	word	2	2	1.122
377.77	1.7	confidence	4	n/a	0.585
380.573	3.4	word	2	1	1.885
383.976	1.7	confidence	2	n/a	0.957
386.978	3.4	word	2	2	1.423
390.38	1.7	confidence	3	n/a	0.509
394.583	3.4	word	2	2	1.163
397.986	1.7	confidence	4	n/a	0.79
404.09	3.4	word	2	1	1.785
407.492	1.7	confidence	3	n/a	0.47
412.796	3.4	word	1	1	2.083
416.199	1.7	confidence	2	n/a	0.494
420.902	3.4	word	1	1	1.577
424.304	1.7	confidence	3	n/a	0.585
427.407	3.4	word	2	2	2.273
430.809	1.7	confidence	2	n/a	0.756
437.314	3.4	word	1	1	1.777
440.716	1.7	confidence	4	n/a	0.973
