onset	duration	trial_type	stimuli_response	correct_answer	reaction_time
394.067	3.4	word	1	2	1.584
397.469	1.7	confidence	3	n/a	0.286
403.273	3.4	word	1	2	2.7
406.676	1.7	confidence	3	n/a	0.543
409.478	3.4	word	2	1	2.875
412.88	1.7	confidence	2	n/a	0.987
418.684	3.4	word	1	2	2.295
422.087	1.7	confidence	3	n/a	0.613
425.389	3.4	word	1	2	2.399
428.791	1.7	confidence	2	n/a	0.635
431.11	3.4	word	2	2	0.945
434.512	1.7	confidence	4	n/a	0.377
437.314	3.4	word	1	2	2.107
440.717	1.7	confidence	2	n/a	0.528
onset	duration	trial_type	stimuli_response	correct_answer	reaction_time
3.419	3.4	word	1	2	2.413
6.822	1.7	confidence	3	n/a	0.978
13.844	3.4	word	2	2	1.786
17.246	1.7	confidence	2	n/a	0.271
19.148	3.4	word	2	2	2.915
22.55	1.7	confidence	2	n/a	0.725
24.351	3.4	word	2	2	2.685
27.754	1.7	confidence	3	n/a	0.208
30.756	3.4	word	1	1	3.028
34.158	1.7	confidence	2	n/a	0.828
38.261	3.4	word	1	1	2.223
41.664	1.7	confidence	4	n/a	0.386
48.068	3.4	word	1	2	2.115
51.471	1.7	confidence	3	n/a	0.255
53.973	3.4	word	1	1	3.269
57.375	1.7	confidence	3	n/a	0.701
59.176	3.4	word	2	2	2.204
62.579	1.7	confidence	1	n/a	0.81
69.284	3.4	word	2	2	1.257
72.686	1.7	confidence	4	n/a	0.309
76.188	3.4	word	1	1	2.07
79.591	1.7	confidence	3	n/a	0.274
82.192	3.4	word	2	1	2.637
85.595	1.7	confidence	2	n/a	1.134
92.7	3.4	word	1	1	2.054
96.102	1.7	confidence	3	n/a	0.336
100.489	3.4	word	1	1	2.412
103.892	1.7	confidence	4	n/a	0.749
109.112	3.4	word	2	2	1.99
112.514	1.7	confidence	2	n/a	0.838
115.316	3.4	word	2	1	2.731
118.719	1.7	confidence	2	n/a	0.885
122.221	3.4	word	1	1	2.268
125.624	1.7	confidence	3	n/a	0.337
128.026	3.4	word	2	1	1.161
131.428	1.7	confidence	4	n/a	0.317
134.831	3.4	word	2	2	2.259
138.233	1.7	confidence	1	n/a	0.918
144.437	3.4	word	1	1	2.441
147.84	1.7	confidence	4	n/a	1.058
151.643	3.4	word	2	1	2.174
155.045	1.7	confidence	3	n/a	0.344
160.249	3.4	word	2	2	1.973
163.651	1.7	confidence	2	n/a	1.303
166.854	3.4	word	1	1	2.637
170.256	1.7	confidence	3	n/a	0.439
172.858	3.4	word	2	1	2.691
176.26	1.7	confidence	4	n/a	1.16
180.548	3.4	word	2	2	1.641
183.949	1.7	confidence	4	n/a	0.33
191.071	3.4	word	1	2	2.46
194.473	1.7	confidence	3	n/a	0.391
196.775	3.4	word	*	2	*
200.177	1.7	confidence	2	n/a	0.07
206.182	3.4	word	2	1	1.868
209.584	1.7	confidence	4	n/a	0.415
213.687	3.4	word	1	1	2.079
217.09	1.7	confidence	3	n/a	0.276
220.475	3.4	word	2	2	2.672
223.878	1.7	confidence	1	n/a	0.833
227.697	3.4	word	1	2	3.005
231.1	1.7	confidence	2	n/a	0.433
233.902	3.4	word	1	1	2.466
237.304	1.7	confidence	3	n/a	0.261
240.306	3.4	word	1	1	1.691
243.709	1.7	confidence	4	n/a	0.283
250.113	3.4	word	1	2	1.413
253.516	1.7	confidence	3	n/a	1.122
255.217	3.4	word	1	2	1.798
258.619	1.7	confidence	4	n/a	0.266
260.637	3.4	word	2	1	1.702
264.04	1.7	confidence	4	n/a	0.292
270.344	3.4	word	*	2	*
273.747	1.7	confidence	2	n/a	1.393
280.152	3.4	word	1	1	1.72
283.553	1.7	confidence	4	n/a	0.273
289.458	3.4	word	1	1	2.535
292.861	1.7	confidence	*	n/a	*
299.382	3.4	word	1	1	1.286
302.784	1.7	confidence	3	n/a	0.311
304.702	3.4	word	1	2	1.264
308.104	1.7	confidence	4	n/a	0.335
310.807	3.4	word	2	2	1.139
314.209	1.7	confidence	4	n/a	0.277
317.011	3.4	word	1	2	1.862
320.414	1.7	confidence	3	n/a	0.31
322.415	3.4	word	2	1	1.215
325.818	1.7	confidence	4	n/a	0.568
332.222	3.4	word	2	1	0.971
335.625	1.7	confidence	4	n/a	0.441
340.228	3.4	word	2	1	2.024
343.63	1.7	confidence	3	n/a	0.306
345.532	3.4	word	2	2	1.208
348.934	1.7	confidence	4	n/a	1.636
352.837	3.4	word	1	1	1.536
356.24	1.7	confidence	3	n/a	1.11
360.042	3.4	word	1	1	1.645
363.445	1.7	confidence	3	n/a	0.755
366.947	3.4	word	1	1	2.049
370.35	1.7	confidence	3	n/a	1.529
372.951	3.4	word	2	2	2.053
376.354	1.7	confidence	4	n/a	0.481
381.858	3.4	word	1	2	2.442
385.26	1.7	confidence	2	n/a	0.23
387.762	3.4	word	*	1	*
391.164	1.7	confidence	4	n/a	0.282
394.067	3.4	word	1	2	1.584
397.469	1.7	confidence	3	n/a	0.286
403.273	3.4	word	1	2	2.7
406.676	1.7	confidence	3	n/a	0.543
409.478	3.4	word	2	1	2.875
412.88	1.7	confidence	2	n/a	0.987
418.684	3.4	word	1	2	2.295
422.087	1.7	confidence	3	n/a	0.613
425.389	3.4	word	1	2	2.399
428.791	1.7	confidence	2	n/a	0.635
431.11	3.4	word	2	2	0.945
434.512	1.7	confidence	4	n/a	0.377
437.314	3.4	word	1	2	2.107
440.717	1.7	confidence	2	n/a	0.528
