onset	duration	trial_type	stimuli_response	correct_answer	reaction_time
127.791	3.4	word	2	2	2.286
131.194	1.7	confidence	1	n/a	0.336
132.995	3.4	word	*	1	*
136.397	1.7	confidence	1	n/a	0.306
138.8	3.4	word	2	1	1.551
142.202	1.7	confidence	2	n/a	0.433
147.606	3.4	word	*	2	*
151.008	1.7	confidence	1	n/a	1.154
157.113	3.4	word	1	1	1.598
160.515	1.7	confidence	2	n/a	0.544
163.017	3.4	word	1	1	2.018
166.419	1.7	confidence	2	n/a	0.842
170.438	3.4	word	2	2	1.162
173.84	1.7	confidence	1	n/a	0.569
177.744	3.4	word	1	2	1.647
181.146	1.7	confidence	2	n/a	0.519
185.533	3.4	word	2	1	1.413
188.935	1.7	confidence	1	n/a	0.504
190.653	3.4	word	*	2	*
194.056	1.7	confidence	1	n/a	0.795
200.277	3.4	word	1	2	1.348
203.679	1.7	confidence	2	n/a	0.695
205.781	3.4	word	2	1	2.374
209.183	1.7	confidence	1	n/a	0.835
216.288	3.4	word	2	2	1.51
219.691	1.7	confidence	2	n/a	0.788
223.61	3.4	word	1	1	1.911
227.012	1.7	confidence	1	n/a	0.569
229.214	3.4	word	1	2	1.898
232.616	1.7	confidence	3	n/a	1.243
239.021	3.4	word	1	2	1.619
242.424	1.7	confidence	2	n/a	0.357
244.926	3.4	word	2	1	2.155
248.328	1.7	confidence	3	n/a	0.395
252.13	3.4	word	2	1	1.681
255.533	1.7	confidence	3	n/a	0.389
259.252	3.4	word	1	2	1.122
262.655	1.7	confidence	2	n/a	0.394
269.46	3.4	word	1	2	2.017
272.862	1.7	confidence	1	n/a	0.346
274.664	3.4	word	2	1	1.647
278.066	1.7	confidence	2	n/a	0.333
280.067	3.4	word	2	2	1.561
283.47	1.7	confidence	1	n/a	0.28
285.754	3.4	word	2	1	1.675
289.157	1.7	confidence	3	n/a	0.396
292.076	3.4	word	1	2	1.508
295.478	1.7	confidence	2	n/a	0.482
300.682	3.4	word	2	1	1.241
304.084	1.7	confidence	4	n/a	0.654
307.587	3.4	word	2	1	1.527
310.989	1.7	confidence	2	n/a	0.488
317.794	3.4	word	1	1	1.788
321.197	1.7	confidence	2	n/a	0.65
325.4	3.4	word	2	1	1.274
328.802	1.7	confidence	3	n/a	0.335
334.99	3.4	word	1	1	1.793
338.392	1.7	confidence	2	n/a	0.425
341.211	3.4	word	2	1	1.844
344.613	1.7	confidence	3	n/a	0.542
351.619	3.4	word	1	2	1.363
355.021	1.7	confidence	1	n/a	0.321
361.726	3.4	word	2	2	1.894
365.128	1.7	confidence	2	n/a	0.891
367.53	3.4	word	1	2	1.821
370.933	1.7	confidence	2	n/a	0.876
376.236	3.4	word	1	2	1.049
379.639	1.7	confidence	2	n/a	0.808
385.159	3.4	word	1	2	1.312
388.562	1.7	confidence	2	n/a	0.826
391.464	3.4	word	1	1	1.817
394.866	1.7	confidence	1	n/a	0.539
399.853	3.4	word	2	2	1.444
403.256	1.7	confidence	1	n/a	0.541
408.476	3.4	word	2	1	1.512
411.878	1.7	confidence	2	n/a	1.404
418.1	3.4	word	2	1	1.408
421.502	1.7	confidence	*	n/a	*
423.604	3.4	word	1	1	2.581
427.006	1.7	confidence	2	n/a	1.191
430.009	3.4	word	2	1	1.286
433.411	1.7	confidence	3	n/a	1.068
437.413	3.4	word	*	2	*
440.816	1.7	confidence	2	n/a	0.636
