onset	duration	trial_type	stimuli_response	correct_answer	reaction_time
92.216	3.4	word	1	2	0.88
95.619	1.7	confidence	4	n/a	0.63
100.122	3.4	word	2	2	1.426
103.524	1.7	confidence	2	n/a	0.701
105.626	3.4	word	2	2	0.947
109.028	1.7	confidence	3	n/a	0.348
112.931	3.4	word	1	1	1.488
116.334	1.7	confidence	1	n/a	0.368
119.636	3.4	word	1	2	0.985
123.038	1.7	confidence	2	n/a	0.376
125.04	3.4	word	1	1	1.054
128.442	1.7	confidence	3	n/a	0.342
135.547	3.4	word	1	1	0.867
138.95	1.7	confidence	2	n/a	0.97
142.853	3.4	word	2	2	1.386
146.255	1.7	confidence	1	n/a	0.357
150.858	3.4	word	1	2	1.095
154.261	1.7	confidence	2	n/a	0.891
159.565	3.4	word	1	2	1.54
162.967	1.7	confidence	2	n/a	0.349
167.07	3.4	word	2	2	1.486
170.472	1.7	confidence	2	n/a	0.373
174.876	3.4	word	2	2	1.201
178.278	1.7	confidence	2	n/a	0.379
184.699	3.4	word	2	1	0.864
188.085	1.7	confidence	3	n/a	0.364
191.103	3.4	word	1	1	1.397
194.506	1.7	confidence	3	n/a	1.366
199.593	3.4	word	1	1	1.118
202.996	1.7	confidence	3	n/a	0.79
205.414	3.4	word	1	1	0.979
208.817	1.7	confidence	2	n/a	0.319
210.718	3.4	word	2	1	0.907
214.12	1.7	confidence	1	n/a	0.381
219.707	3.4	word	1	1	1.088
223.11	1.7	confidence	2	n/a	0.393
227.13	3.4	word	1	1	1.062
230.532	1.7	confidence	3	n/a	0.298
233.134	3.4	word	2	1	0.878
236.536	1.7	confidence	3	n/a	0.346
238.838	3.4	word	1	1	1.499
242.24	1.7	confidence	2	n/a	0.383
244.342	3.4	word	2	2	1.164
247.744	1.7	confidence	2	n/a	0.344
250.647	3.4	word	2	1	1.037
254.049	1.7	confidence	3	n/a	0.366
261.071	3.4	word	2	1	1.011
264.473	1.7	confidence	2	n/a	0.634
266.975	3.4	word	1	1	1.167
270.377	1.7	confidence	1	n/a	0.325
275.68	3.4	word	2	2	1.186
279.084	1.7	confidence	2	n/a	0.375
283.587	3.4	word	2	2	0.906
286.989	1.7	confidence	3	n/a	0.346
289.274	3.4	word	2	1	1.047
292.677	1.7	confidence	1	n/a	1.237
295.996	3.4	word	1	1	1.196
299.398	1.7	confidence	2	n/a	0.336
302.3	3.4	word	2	2	1.243
305.702	1.7	confidence	1	n/a	0.6
307.688	3.4	word	1	2	1.155
311.09	1.7	confidence	2	n/a	0.935
316.511	3.4	word	1	2	0.957
319.913	1.7	confidence	1	n/a	0.38
323.132	3.4	word	2	1	1.004
326.534	1.7	confidence	1	n/a	0.651
330.337	3.4	word	1	1	1.114
333.739	1.7	confidence	4	n/a	1.078
336.341	3.4	word	2	2	1.033
339.743	1.7	confidence	2	n/a	0.802
341.728	3.4	word	1	2	0.949
345.131	1.7	confidence	2	n/a	0.371
348.049	3.4	word	1	1	0.899
351.452	1.7	confidence	3	n/a	0.561
357.974	3.4	word	1	2	1.387
361.376	1.7	confidence	3	n/a	0.372
367.881	3.4	word	1	1	1.237
371.283	1.7	confidence	2	n/a	0.39
374.285	3.4	word	2	2	1.321
377.687	1.7	confidence	3	n/a	0.4
381.29	3.4	word	1	1	1.72
384.693	1.7	confidence	1	n/a	0.451
391.498	3.4	word	2	2	0.91
394.9	1.7	confidence	3	n/a	0.354
398.102	3.4	word	2	1	0.879
401.505	1.7	confidence	2	n/a	0.387
406.909	3.4	word	2	2	1.372
410.311	1.7	confidence	1	n/a	0.434
415.697	3.4	word	2	1	1.154
419.101	1.7	confidence	3	n/a	0.441
423.804	3.4	word	1	1	1.41
427.207	1.7	confidence	1	n/a	1.149
429.125	3.4	word	1	2	1.241
432.527	1.7	confidence	2	n/a	0.434
437.331	3.4	word	2	2	1.045
440.733	1.7	confidence	2	n/a	0.424
