onset	duration	trial_type	stimuli_response	correct_answer	reaction_time
313.976	3.4	word	1	2	2.161
317.379	1.7	confidence	2	n/a	0.321
319.38	3.4	word	2	2	2.219
322.783	1.7	confidence	3	n/a	0.431
325.985	3.4	word	1	1	0.952
329.387	1.7	confidence	4	n/a	0.378
333.891	3.4	word	2	2	1.775
337.293	1.7	confidence	3	n/a	0.706
341.296	3.4	word	1	1	1.236
344.698	1.7	confidence	3	n/a	0.348
351.804	3.4	word	1	1	1.322
355.205	1.7	confidence	2	n/a	0.56
358.809	3.4	word	*	1	*
362.211	1.7	confidence	3	n/a	0.421
366.114	3.4	word	2	1	1.759
369.516	1.7	confidence	3	n/a	0.348
374.336	3.4	word	2	2	1.442
377.739	1.7	confidence	3	n/a	0.383
383.142	3.4	word	2	2	1.125
386.545	1.7	confidence	3	n/a	0.371
389.764	3.4	word	2	2	1.906
393.166	1.7	confidence	2	n/a	0.416
397.786	3.4	word	2	2	1.136
401.188	1.7	confidence	4	n/a	0.38
403.174	3.4	word	2	1	2.097
406.576	1.7	confidence	3	n/a	0.525
410.395	3.4	word	1	1	2.236
413.798	1.7	confidence	4	n/a	0.396
417.901	3.4	word	2	2	1.765
421.303	1.7	confidence	3	n/a	0.688
423.605	3.4	word	1	2	1.563
427.008	1.7	confidence	2	n/a	0.355
432.312	3.4	word	2	2	0.943
435.714	1.7	confidence	2	n/a	0.284
437.415	3.4	word	1	2	1.722
440.817	1.7	confidence	3	n/a	0.387
onset	duration	trial_type	stimuli_response	correct_answer	reaction_time
0.918	3.4	word	1	2	1.329
4.32	1.7	confidence	*	n/a	*
6.839	3.4	word	*	1	*
10.241	1.7	confidence	3	n/a	0.364
15.645	3.4	word	2	2	1.231
19.047	1.7	confidence	2	n/a	0.278
22.05	3.4	word	2	2	1.57
25.452	1.7	confidence	2	n/a	0.264
28.071	3.4	word	1	1	0.848
31.473	1.7	confidence	4	n/a	0.427
33.591	3.4	word	2	2	1.499
36.994	1.7	confidence	3	n/a	0.763
41.697	3.4	word	1	2	2.146
45.098	1.7	confidence	2	n/a	0.343
50.403	3.4	word	2	2	1.484
53.806	1.7	confidence	3	n/a	0.457
59.426	3.4	word	*	1	*
62.829	1.7	confidence	2	n/a	0.322
66.615	3.4	word	1	1	1.189
70.017	1.7	confidence	3	n/a	0.343
72.336	3.4	word	*	1	*
75.738	1.7	confidence	2	n/a	0.462
77.639	3.4	word	2	1	1.547
81.042	1.7	confidence	2	n/a	0.44
88.064	3.4	word	1	1	1.043
91.466	1.7	confidence	3	n/a	0.442
94.185	3.4	word	1	2	1.68
97.587	1.7	confidence	3	n/a	0.882
101.99	3.4	word	1	2	1.206
105.393	1.7	confidence	2	n/a	0.36
108.596	3.4	word	1	1	1.821
111.998	1.7	confidence	3	n/a	0.492
118.502	3.4	word	2	1	1.849
121.905	1.7	confidence	2	n/a	0.962
127.909	3.4	word	1	1	1.629
131.311	1.7	confidence	2	n/a	0.394
134.614	3.4	word	2	1	1.485
138.016	1.7	confidence	2	n/a	0.685
140.418	3.4	word	1	1	2.384
143.82	1.7	confidence	2	n/a	0.726
146.823	3.4	word	2	1	1.598
150.225	1.7	confidence	3	n/a	0.451
153.109	3.4	word	1	2	1.954
156.513	1.7	confidence	2	n/a	0.388
160.232	3.4	word	2	2	1.517
163.635	1.7	confidence	3	n/a	0.613
165.937	3.4	word	2	1	1.783
169.339	1.7	confidence	3	n/a	1.359
176.244	3.4	word	1	1	0.878
179.646	1.7	confidence	4	n/a	0.356
181.548	3.4	word	2	2	2.223
184.95	1.7	confidence	3	n/a	0.407
191.454	3.4	word	2	2	1.332
194.857	1.7	confidence	3	n/a	0.537
201.762	3.4	word	2	1	1.532
205.164	1.7	confidence	2	n/a	0.669
209.15	3.4	word	2	2	1.418
212.553	1.7	confidence	2	n/a	0.562
215.873	3.4	word	2	2	2.067
219.275	1.7	confidence	2	n/a	0.321
223.778	3.4	word	1	2	1.169
227.18	1.7	confidence	3	n/a	0.418
231.099	3.4	word	1	2	0.977
234.502	1.7	confidence	3	n/a	0.462
239.188	3.4	word	2	1	1.817
242.591	1.7	confidence	2	n/a	0.357
249.013	3.4	word	1	1	2.088
252.415	1.7	confidence	2	n/a	0.51
254.417	3.4	word	2	2	1.322
257.819	1.7	confidence	3	n/a	0.357
262.022	3.4	word	2	1	1.48
265.425	1.7	confidence	2	n/a	0.466
270.845	3.4	word	1	1	1.385
274.248	1.7	confidence	2	n/a	0.22
277.132	3.4	word	*	1	*
280.535	1.7	confidence	3	n/a	0.451
282.654	3.4	word	2	2	1.739
286.056	1.7	confidence	2	n/a	0.288
291.143	3.4	word	1	1	1.206
294.546	1.7	confidence	3	n/a	0.625
297.464	3.4	word	1	1	1.353
300.867	1.7	confidence	4	n/a	0.303
303.769	3.4	word	2	2	1.728
307.171	1.7	confidence	1	n/a	0.321
313.976	3.4	word	1	2	2.161
317.379	1.7	confidence	2	n/a	0.321
319.38	3.4	word	2	2	2.219
322.783	1.7	confidence	3	n/a	0.431
325.985	3.4	word	1	1	0.952
329.387	1.7	confidence	4	n/a	0.378
333.891	3.4	word	2	2	1.775
337.293	1.7	confidence	3	n/a	0.706
341.296	3.4	word	1	1	1.236
344.698	1.7	confidence	3	n/a	0.348
351.804	3.4	word	1	1	1.322
355.205	1.7	confidence	2	n/a	0.56
358.809	3.4	word	*	1	*
362.211	1.7	confidence	3	n/a	0.421
366.114	3.4	word	2	1	1.759
369.516	1.7	confidence	3	n/a	0.348
374.336	3.4	word	2	2	1.442
377.739	1.7	confidence	3	n/a	0.383
383.142	3.4	word	2	2	1.125
386.545	1.7	confidence	3	n/a	0.371
389.764	3.4	word	2	2	1.906
393.166	1.7	confidence	2	n/a	0.416
397.786	3.4	word	2	2	1.136
401.188	1.7	confidence	4	n/a	0.38
403.174	3.4	word	2	1	2.097
406.576	1.7	confidence	3	n/a	0.525
410.395	3.4	word	1	1	2.236
413.798	1.7	confidence	4	n/a	0.396
417.901	3.4	word	2	2	1.765
421.303	1.7	confidence	3	n/a	0.688
423.605	3.4	word	1	2	1.563
427.008	1.7	confidence	2	n/a	0.355
432.312	3.4	word	2	2	0.943
435.714	1.7	confidence	2	n/a	0.284
437.415	3.4	word	1	2	1.722
440.817	1.7	confidence	3	n/a	0.387
