onset	duration	trial_type	stimuli_response	correct_answer	reaction_time
266.575	1.7	confidence	2	n/a	0.76
270.978	3.4	word	2	1	2.905
274.38	1.7	confidence	*	n/a	*
277.883	3.4	word	1	1	1.247
281.285	1.7	confidence	3	n/a	0.354
282.986	3.4	word	2	2	1.792
286.388	1.7	confidence	2	n/a	0.748
292.71	3.4	word	2	2	1.505
296.112	1.7	confidence	3	n/a	0.468
300.232	3.4	word	2	1	1.809
303.635	1.7	confidence	2	n/a	0.846
306.136	3.4	word	2	1	2.405
309.539	1.7	confidence	1	n/a	0.35
313.041	3.4	word	1	1	1.323
316.444	1.7	confidence	4	n/a	0.492
318.345	3.4	word	2	2	2.432
321.747	1.7	confidence	2	n/a	1.365
326.951	3.4	word	2	2	2.125
330.354	1.7	confidence	2	n/a	1.322
336.758	3.4	word	2	1	1.469
340.161	1.7	confidence	*	n/a	*
342.162	3.4	word	1	1	1.645
345.564	1.7	confidence	1	n/a	0.337
351.469	3.4	word	1	1	1.543
354.871	1.7	confidence	3	n/a	0.452
361.576	3.4	word	1	2	1.328
364.978	1.7	confidence	3	n/a	0.663
368.881	3.4	word	1	1	2.345
372.284	1.7	confidence	1	n/a	0.84
379.389	3.4	word	1	1	1.801
382.791	1.7	confidence	2	n/a	0.61
388.795	3.4	word	1	1	2.405
392.198	1.7	confidence	3	n/a	0.955
394.099	3.4	word	2	2	1.187
397.502	1.7	confidence	3	n/a	1.395
400.304	3.4	word	1	2	1.898
403.706	1.7	confidence	1	n/a	0.385
410.811	3.4	word	2	2	1.826
414.214	1.7	confidence	4	n/a	0.458
420.602	3.4	word	1	2	1.324
424.004	1.7	confidence	3	n/a	1.058
425.806	3.4	word	2	2	1.109
429.208	1.7	confidence	3	n/a	0.868
431.226	3.4	word	1	1	1.352
434.628	1.7	confidence	3	n/a	0.316
437.33	3.4	word	2	2	2.07
440.733	1.7	confidence	2	n/a	0.461
onset	duration	trial_type	stimuli_response	correct_answer	reaction_time
2.919	3.4	word	1	1	1.537
6.321	1.7	confidence	3	n/a	0.459
12.125	3.4	word	2	2	1.822
15.528	1.7	confidence	*	n/a	*
18.931	3.4	word	2	2	2.155
22.333	1.7	confidence	2	n/a	1.388
24.835	3.4	word	1	1	1.16
28.237	1.7	confidence	4	n/a	0.401
31.239	3.4	word	1	1	1.721
34.642	1.7	confidence	*	n/a	*
38.445	3.4	word	1	1	1.35
41.847	1.7	confidence	*	n/a	*
43.647	3.4	word	1	2	1.53
47.051	1.7	confidence	2	n/a	0.392
50.87	3.4	word	2	1	1.204
54.272	1.7	confidence	3	n/a	0.882
56.674	3.4	word	1	1	1.938
60.077	1.7	confidence	4	n/a	1.425
61.978	3.4	word	2	2	3.269
65.381	1.7	confidence	1	n/a	1.401
68.182	3.4	word	2	2	1.428
71.585	1.7	confidence	3	n/a	1.108
75.888	3.4	word	2	2	1.555
79.29	1.7	confidence	3	n/a	1.084
86.295	3.4	word	1	2	1.863
89.697	1.7	confidence	1	n/a	0.732
92.3	3.4	word	2	1	1.858
95.702	1.7	confidence	2	n/a	0.468
101.506	3.4	word	2	2	1.406
104.909	1.7	confidence	3	n/a	0.366
107.527	3.4	word	2	1	2.419
110.93	1.7	confidence	3	n/a	1.032
113.532	3.4	word	2	2	2.327
116.934	1.7	confidence	3	n/a	0.53
119.836	3.4	word	2	2	2.133
123.238	1.7	confidence	2	n/a	0.89
128.442	3.4	word	2	2	1.368
131.845	1.7	confidence	2	n/a	0.598
134.13	3.4	word	1	2	1.328
137.532	1.7	confidence	3	n/a	0.725
139.85	3.4	word	2	2	1.406
143.253	1.7	confidence	4	n/a	0.486
146.055	3.4	word	1	1	1.986
149.458	1.7	confidence	1	n/a	1.159
155.862	3.4	word	2	1	2.576
159.264	1.7	confidence	4	n/a	0.624
164.769	3.4	word	2	2	1.357
168.171	1.7	confidence	3	n/a	0.785
171.473	3.4	word	2	2	1.738
174.875	1.7	confidence	3	n/a	0.406
178.978	3.4	word	2	1	1.572
182.381	1.7	confidence	3	n/a	0.967
188.585	3.4	word	1	1	2.621
191.988	1.7	confidence	2	n/a	0.524
195.006	3.4	word	2	1	2.21
198.409	1.7	confidence	3	n/a	0.811
201.228	3.4	word	1	1	1.508
204.63	1.7	confidence	4	n/a	0.436
208.133	3.4	word	1	1	1.204
211.535	1.7	confidence	4	n/a	0.456
218.04	3.4	word	2	1	1.284
221.442	1.7	confidence	2	n/a	0.488
224.244	3.4	word	2	1	1.456
227.646	1.7	confidence	2	n/a	0.649
232.75	3.4	word	1	2	2.472
236.152	1.7	confidence	1	n/a	0.791
239.355	3.4	word	2	1	1.564
242.758	1.7	confidence	2	n/a	0.845
249.162	3.4	word	1	2	1.686
252.564	1.7	confidence	3	n/a	1.285
256.367	3.4	word	2	2	1.802
259.769	1.7	confidence	4	n/a	0.474
263.172	3.4	word	2	2	1.335
266.575	1.7	confidence	2	n/a	0.76
270.978	3.4	word	2	1	2.905
274.38	1.7	confidence	*	n/a	*
277.883	3.4	word	1	1	1.247
281.285	1.7	confidence	3	n/a	0.354
282.986	3.4	word	2	2	1.792
286.388	1.7	confidence	2	n/a	0.748
292.71	3.4	word	2	2	1.505
296.112	1.7	confidence	3	n/a	0.468
300.232	3.4	word	2	1	1.809
303.635	1.7	confidence	2	n/a	0.846
306.136	3.4	word	2	1	2.405
309.539	1.7	confidence	1	n/a	0.35
313.041	3.4	word	1	1	1.323
316.444	1.7	confidence	4	n/a	0.492
318.345	3.4	word	2	2	2.432
321.747	1.7	confidence	2	n/a	1.365
326.951	3.4	word	2	2	2.125
330.354	1.7	confidence	2	n/a	1.322
336.758	3.4	word	2	1	1.469
340.161	1.7	confidence	*	n/a	*
342.162	3.4	word	1	1	1.645
345.564	1.7	confidence	1	n/a	0.337
351.469	3.4	word	1	1	1.543
354.871	1.7	confidence	3	n/a	0.452
361.576	3.4	word	1	2	1.328
364.978	1.7	confidence	3	n/a	0.663
368.881	3.4	word	1	1	2.345
372.284	1.7	confidence	1	n/a	0.84
379.389	3.4	word	1	1	1.801
382.791	1.7	confidence	2	n/a	0.61
388.795	3.4	word	1	1	2.405
392.198	1.7	confidence	3	n/a	0.955
394.099	3.4	word	2	2	1.187
397.502	1.7	confidence	3	n/a	1.395
400.304	3.4	word	1	2	1.898
403.706	1.7	confidence	1	n/a	0.385
410.811	3.4	word	2	2	1.826
414.214	1.7	confidence	4	n/a	0.458
420.602	3.4	word	1	2	1.324
424.004	1.7	confidence	3	n/a	1.058
425.806	3.4	word	2	2	1.109
429.208	1.7	confidence	3	n/a	0.868
431.226	3.4	word	1	1	1.352
434.628	1.7	confidence	3	n/a	0.316
437.33	3.4	word	2	2	2.07
440.733	1.7	confidence	2	n/a	0.461
