onset	duration	trial_type	stimuli_response	correct_answer	reaction_time
135.348	3.4	word	2	2	2.212
138.75	1.7	confidence	2	n/a	0.804
145.872	3.4	word	2	1	2.937
149.275	1.7	confidence	2	n/a	0.815
153.878	3.4	word	1	1	1.091
157.28	1.7	confidence	4	n/a	0.48
160.582	3.4	word	1	1	1.383
163.985	1.7	confidence	3	n/a	0.46
166.987	3.4	word	2	2	1.21
170.389	1.7	confidence	4	n/a	0.418
175.093	3.4	word	2	2	1.259
178.495	1.7	confidence	4	n/a	0.338
183.199	3.4	word	1	1	1.605
186.601	1.7	confidence	3	n/a	0.429
193.106	3.4	word	1	1	0.85
196.508	1.7	confidence	4	n/a	0.356
200.494	3.4	word	2	1	1.47
203.897	1.7	confidence	3	n/a	0.451
210.619	3.4	word	2	2	1.635
214.021	1.7	confidence	2	n/a	1.345
216.023	3.4	word	2	2	1.756
219.425	1.7	confidence	3	n/a	0.66
224.729	3.4	word	2	1	1.753
228.131	1.7	confidence	3	n/a	0.682
230.933	3.4	word	1	1	1.076
234.336	1.7	confidence	3	n/a	0.657
240.34	3.4	word	1	2	0.962
243.742	1.7	confidence	3	n/a	0.829
245.944	3.4	word	1	2	1.124
249.347	1.7	confidence	3	n/a	0.402
251.748	3.4	word	2	1	1.848
255.151	1.7	confidence	2	n/a	1.301
261.055	3.4	word	1	2	2.284
264.457	1.7	confidence	3	n/a	1.126
268.961	3.4	word	1	1	0.859
272.363	1.7	confidence	4	n/a	0.305
276.566	3.4	word	2	2	1.202
279.968	1.7	confidence	4	n/a	1.387
285.872	3.4	word	2	2	1.03
289.275	1.7	confidence	3	n/a	0.453
295.396	3.4	word	1	1	1.007
298.799	1.7	confidence	3	n/a	0.838
302.101	3.4	word	1	2	0.871
305.503	1.7	confidence	4	n/a	0.615
309.606	3.4	word	2	2	1.476
313.009	1.7	confidence	4	n/a	0.46
314.71	3.4	word	2	2	2.122
318.112	1.7	confidence	4	n/a	1.195
323.133	3.4	word	2	2	1.767
326.535	1.7	confidence	3	n/a	0.38
329.937	3.4	word	1	1	1.374
333.34	1.7	confidence	4	n/a	0.356
335.141	3.4	word	2	1	1.245
338.544	1.7	confidence	3	n/a	1.248
343.448	3.4	word	1	1	1.047
346.85	1.7	confidence	4	n/a	0.584
349.352	3.4	word	1	1	1.098
352.754	1.7	confidence	3	n/a	0.302
354.455	3.4	word	2	1	1.046
357.858	1.7	confidence	3	n/a	0.347
360.576	3.4	word	1	2	1.482
363.979	1.7	confidence	3	n/a	1.242
365.68	3.4	word	1	1	1.487
369.082	1.7	confidence	3	n/a	0.42
373.302	3.4	word	1	1	1.012
376.705	1.7	confidence	3	n/a	0.468
379.206	3.4	word	2	1	2.02
382.609	1.7	confidence	4	n/a	0.301
387.312	3.4	word	2	1	1.091
390.714	1.7	confidence	3	n/a	0.638
392.499	3.4	word	1	1	1.899
395.902	1.7	confidence	3	n/a	0.433
398.32	3.4	word	2	2	2.256
401.722	1.7	confidence	2	n/a	0.324
407.527	3.4	word	1	1	0.985
410.929	1.7	confidence	3	n/a	0.548
417.617	3.4	word	1	1	0.844
421.02	1.7	confidence	4	n/a	0.408
424.639	3.4	word	2	2	1.737
428.041	1.7	confidence	3	n/a	0.541
431.561	3.4	word	1	1	1.011
434.963	1.7	confidence	3	n/a	0.496
437.365	3.4	word	1	2	1.5
440.767	1.7	confidence	3	n/a	0.501
