onset	duration	trial_type	stimuli_response	correct_answer	reaction_time
363.045	3.4	word	1	1	0.796
366.447	1.7	confidence	*	n/a	*
371.852	3.4	word	2	2	1.06
375.254	1.7	confidence	3	n/a	0.328
378.455	3.4	word	1	2	0.938
381.859	1.7	confidence	1	n/a	0.245
385.578	3.4	word	1	2	0.923
388.981	1.7	confidence	1	n/a	0.289
393.584	3.4	word	2	2	1.022
396.986	1.7	confidence	2	n/a	0.536
403.891	3.4	word	2	1	1.132
407.294	1.7	confidence	2	n/a	0.255
412.598	3.4	word	2	2	1.489
416.0	1.7	confidence	2	n/a	0.627
420.704	3.4	word	1	1	1.046
424.106	1.7	confidence	4	n/a	0.308
427.108	3.4	word	2	2	0.976
430.51	1.7	confidence	3	n/a	0.455
437.315	3.4	word	2	2	1.782
440.718	1.7	confidence	2	n/a	1.1
onset	duration	trial_type	stimuli_response	correct_answer	reaction_time
3.019	3.4	word	1	2	1.108
6.421	1.7	confidence	2	n/a	0.568
10.642	3.4	word	2	1	1.13
14.044	1.7	confidence	2	n/a	0.332
17.946	3.4	word	2	2	1.322
21.349	1.7	confidence	3	n/a	0.309
28.254	3.4	word	2	1	0.958
31.657	1.7	confidence	1	n/a	0.488
34.058	3.4	word	1	1	1.497
37.444	1.7	confidence	4	n/a	0.503
39.162	3.4	word	1	2	1.475
42.564	1.7	confidence	2	n/a	0.208
44.567	3.4	word	1	1	0.851
47.968	1.7	confidence	4	n/a	0.148
51.988	3.4	word	2	2	1.261
55.391	1.7	confidence	2	n/a	0.382
58.693	3.4	word	1	1	1.35
62.095	1.7	confidence	1	n/a	0.961
66.098	3.4	word	2	1	1.836
69.501	1.7	confidence	3	n/a	0.506
72.203	3.4	word	1	2	0.92
75.605	1.7	confidence	4	n/a	0.405
78.607	3.4	word	1	1	0.831
82.009	1.7	confidence	4	n/a	0.288
86.413	3.4	word	2	2	1.058
89.815	1.7	confidence	3	n/a	0.571
94.319	3.4	word	1	2	0.99
97.721	1.7	confidence	2	n/a	0.229
101.023	3.4	word	1	2	0.927
104.425	1.7	confidence	4	n/a	0.226
108.511	3.4	word	1	2	0.643
111.914	1.7	confidence	3	n/a	0.306
118.336	3.4	word	1	1	1.179
121.738	1.7	confidence	3	n/a	0.452
123.74	3.4	word	2	2	0.957
127.142	1.7	confidence	3	n/a	0.234
132.746	3.4	word	2	1	1.614
136.149	1.7	confidence	2	n/a	0.303
138.15	3.4	word	2	2	1.507
141.553	1.7	confidence	3	n/a	0.243
145.455	3.4	word	2	1	0.987
148.858	1.7	confidence	3	n/a	0.286
154.278	3.4	word	2	1	1.953
157.68	1.7	confidence	3	n/a	0.572
160.883	3.4	word	1	1	0.702
164.285	1.7	confidence	4	n/a	0.291
169.59	3.4	word	1	2	1.237
172.992	1.7	confidence	2	n/a	0.503
175.093	3.4	word	2	2	1.529
178.495	1.7	confidence	1	n/a	0.228
182.098	3.4	word	1	1	1.847
185.501	1.7	confidence	2	n/a	0.245
188.403	3.4	word	2	2	1.109
191.805	1.7	confidence	3	n/a	0.452
194.107	3.4	word	2	1	1.156
197.509	1.7	confidence	4	n/a	0.282
199.611	3.4	word	2	2	1.562
203.013	1.7	confidence	3	n/a	0.84
208.117	3.4	word	1	1	0.896
211.519	1.7	confidence	4	n/a	0.258
216.023	3.4	word	2	2	1.007
219.425	1.7	confidence	3	n/a	0.811
225.93	3.4	word	1	1	0.667
229.332	1.7	confidence	4	n/a	0.317
236.436	3.4	word	1	1	0.636
239.84	1.7	confidence	3	n/a	0.451
243.643	3.4	word	1	1	1.357
247.028	1.7	confidence	1	n/a	0.295
249.347	3.4	word	1	1	0.73
252.749	1.7	confidence	4	n/a	0.303
255.651	3.4	word	2	1	0.993
259.054	1.7	confidence	4	n/a	0.245
261.656	3.4	word	1	2	0.81
265.058	1.7	confidence	3	n/a	0.347
267.56	3.4	word	1	1	0.666
270.962	1.7	confidence	3	n/a	0.333
276.366	3.4	word	2	2	1.053
279.769	1.7	confidence	3	n/a	0.346
282.671	3.4	word	2	1	0.863
286.073	1.7	confidence	2	n/a	0.246
289.276	3.4	word	1	1	1.382
292.678	1.7	confidence	4	n/a	0.257
299.182	3.4	word	1	2	1.704
302.585	1.7	confidence	2	n/a	0.345
307.389	3.4	word	1	2	0.802
310.791	1.7	confidence	1	n/a	0.475
313.71	3.4	word	2	2	1.791
317.112	1.7	confidence	2	n/a	0.269
319.014	3.4	word	1	1	1.561
322.416	1.7	confidence	4	n/a	0.229
328.421	3.4	word	1	1	1.032
331.823	1.7	confidence	2	n/a	0.297
334.425	3.4	word	2	1	1.39
337.827	1.7	confidence	2	n/a	0.22
340.129	3.4	word	1	2	1.625
343.531	1.7	confidence	3	n/a	0.579
347.334	3.4	word	1	1	0.978
350.737	1.7	confidence	2	n/a	0.295
352.638	3.4	word	2	2	1.033
356.04	1.7	confidence	2	n/a	0.546
363.045	3.4	word	1	1	0.796
366.447	1.7	confidence	*	n/a	*
371.852	3.4	word	2	2	1.06
375.254	1.7	confidence	3	n/a	0.328
378.455	3.4	word	1	2	0.938
381.859	1.7	confidence	1	n/a	0.245
385.578	3.4	word	1	2	0.923
388.981	1.7	confidence	1	n/a	0.289
393.584	3.4	word	2	2	1.022
396.986	1.7	confidence	2	n/a	0.536
403.891	3.4	word	2	1	1.132
407.294	1.7	confidence	2	n/a	0.255
412.598	3.4	word	2	2	1.489
416.0	1.7	confidence	2	n/a	0.627
420.704	3.4	word	1	1	1.046
424.106	1.7	confidence	4	n/a	0.308
427.108	3.4	word	2	2	0.976
430.51	1.7	confidence	3	n/a	0.455
437.315	3.4	word	2	2	1.782
440.718	1.7	confidence	2	n/a	1.1
