onset	duration	trial_type	stimuli_response	correct_answer	reaction_time
364.278	1.7	confidence	*	n/a	*
369.465	3.4	word	2	2	1.974
372.868	1.7	confidence	3	n/a	0.83
375.186	3.4	word	1	2	2.331
378.589	1.7	confidence	3	n/a	0.67
385.293	3.4	word	2	2	1.404
388.696	1.7	confidence	3	n/a	0.952
391.298	3.4	word	1	1	1.674
394.7	1.7	confidence	4	n/a	0.881
397.485	3.4	word	2	1	2.428
400.888	1.7	confidence	2	n/a	1.52
407.209	3.4	word	2	2	1.884
410.612	1.7	confidence	2	n/a	0.528
413.113	3.4	word	1	1	1.407
416.516	1.7	confidence	4	n/a	0.367
419.501	3.4	word	1	1	2.716
422.904	1.7	confidence	2	n/a	0.321
428.124	3.4	word	2	2	1.499
431.526	1.7	confidence	4	n/a	0.359
437.331	3.4	word	2	2	1.569
440.733	1.7	confidence	3	n/a	0.431
onset	duration	trial_type	stimuli_response	correct_answer	reaction_time
1.218	3.4	word	2	2	2.023
4.62	1.7	confidence	2	n/a	1.073
6.638	3.4	word	2	1	2.061
10.041	1.7	confidence	3	n/a	0.325
13.243	3.4	word	1	1	2.158
16.645	1.7	confidence	2	n/a	0.371
19.647	3.4	word	1	1	1.855
23.05	1.7	confidence	3	n/a	0.612
25.434	3.4	word	2	1	2.523
28.837	1.7	confidence	3	n/a	1.083
32.356	3.4	word	2	1	2.265
35.743	1.7	confidence	1	n/a	0.749
39.547	3.4	word	2	2	1.883
42.948	1.7	confidence	3	n/a	0.711
46.767	3.4	word	*	1	*
50.169	1.7	confidence	4	n/a	1.559
56.574	3.4	word	1	2	2.709
59.976	1.7	confidence	3	n/a	1.063
64.079	3.4	word	1	1	2.454
67.481	1.7	confidence	2	n/a	0.835
73.286	3.4	word	1	2	1.725
76.688	1.7	confidence	3	n/a	0.93
81.792	3.4	word	2	2	1.489
85.195	1.7	confidence	*	n/a	*
87.997	3.4	word	1	1	2.106
91.399	1.7	confidence	3	n/a	1.35
93.3	3.4	word	2	2	1.747
96.703	1.7	confidence	4	n/a	1.104
99.488	3.4	word	2	2	1.772
102.89	1.7	confidence	3	n/a	0.493
104.809	3.4	word	1	2	1.641
108.211	1.7	confidence	2	n/a	0.805
111.613	3.4	word	1	2	2.877
115.016	1.7	confidence	4	n/a	1.13
119.619	3.4	word	1	1	1.257
123.022	1.7	confidence	4	n/a	0.557
126.524	3.4	word	1	1	1.052
129.927	1.7	confidence	4	n/a	0.564
133.729	3.4	word	1	1	1.23
137.132	1.7	confidence	4	n/a	0.561
143.519	3.4	word	1	1	1.48
146.922	1.7	confidence	4	n/a	1.114
148.74	3.4	word	2	2	1.594
152.143	1.7	confidence	3	n/a	1.159
156.246	3.4	word	1	1	1.533
159.648	1.7	confidence	3	n/a	1.388
162.967	3.4	word	2	2	2.317
166.37	1.7	confidence	2	n/a	0.416
169.172	3.4	word	2	1	2.749
172.574	1.7	confidence	1	n/a	0.431
179.679	3.4	word	2	1	2.239
183.082	1.7	confidence	*	n/a	*
185.783	3.4	word	2	2	1.775
189.186	1.7	confidence	2	n/a	1.195
195.19	3.4	word	2	1	1.485
198.593	1.7	confidence	3	n/a	0.435
205.097	3.4	word	1	1	1.073
208.5	1.7	confidence	4	n/a	0.604
210.401	3.4	word	*	2	*
213.804	1.7	confidence	2	n/a	0.937
220.208	3.4	word	1	1	1.831
223.611	1.7	confidence	1	n/a	0.352
227.013	3.4	word	2	2	1.301
230.415	1.7	confidence	3	n/a	0.61
236.82	3.4	word	2	2	2.452
240.223	1.7	confidence	2	n/a	1.559
244.526	3.4	word	1	2	3.238
247.928	1.7	confidence	2	n/a	1.085
251.831	3.4	word	2	1	1.784
255.233	1.7	confidence	3	n/a	1.109
261.437	3.4	word	1	1	2.076
264.84	1.7	confidence	3	n/a	0.881
268.359	3.4	word	1	1	3.137
271.762	1.7	confidence	1	n/a	0.846
274.38	3.4	word	1	1	1.996
277.783	1.7	confidence	3	n/a	0.417
279.483	3.4	word	1	2	3.207
282.887	1.7	confidence	2	n/a	1.009
289.908	3.4	word	2	2	1.919
293.311	1.7	confidence	3	n/a	0.548
300.416	3.4	word	2	2	1.515
303.818	1.7	confidence	3	n/a	0.372
309.339	3.4	word	2	2	3.246
312.741	1.7	confidence	3	n/a	0.823
317.144	3.4	word	1	1	2.915
320.547	1.7	confidence	2	n/a	0.389
323.033	3.4	word	1	1	1.271
326.435	1.7	confidence	4	n/a	0.382
328.253	3.4	word	2	2	2.652
331.638	1.7	confidence	2	n/a	1.337
334.24	3.4	word	2	2	1.462
337.643	1.7	confidence	3	n/a	0.38
343.546	3.4	word	*	1	*
346.949	1.7	confidence	1	n/a	0.935
349.768	3.4	word	1	2	2.203
353.17	1.7	confidence	3	n/a	1.088
355.172	3.4	word	2	1	1.415
358.574	1.7	confidence	2	n/a	0.345
360.876	3.4	word	1	2	2.475
364.278	1.7	confidence	*	n/a	*
369.465	3.4	word	2	2	1.974
372.868	1.7	confidence	3	n/a	0.83
375.186	3.4	word	1	2	2.331
378.589	1.7	confidence	3	n/a	0.67
385.293	3.4	word	2	2	1.404
388.696	1.7	confidence	3	n/a	0.952
391.298	3.4	word	1	1	1.674
394.7	1.7	confidence	4	n/a	0.881
397.485	3.4	word	2	1	2.428
400.888	1.7	confidence	2	n/a	1.52
407.209	3.4	word	2	2	1.884
410.612	1.7	confidence	2	n/a	0.528
413.113	3.4	word	1	1	1.407
416.516	1.7	confidence	4	n/a	0.367
419.501	3.4	word	1	1	2.716
422.904	1.7	confidence	2	n/a	0.321
428.124	3.4	word	2	2	1.499
431.526	1.7	confidence	4	n/a	0.359
437.331	3.4	word	2	2	1.569
440.733	1.7	confidence	3	n/a	0.431
