onset	duration	trial_type	stimuli_response	correct_answer	reaction_time
353.988	1.7	confidence	4	n/a	0.736
356.49	3.4	word	1	1	1.58
359.892	1.7	confidence	4	n/a	0.512
361.793	3.4	word	1	2	1.725
365.196	1.7	confidence	3	n/a	0.569
372.301	3.4	word	2	2	1.244
375.703	1.7	confidence	*	n/a	*
378.405	3.4	word	1	2	3.137
381.807	1.7	confidence	3	n/a	1.282
384.409	3.4	word	1	1	1.529
387.812	1.7	confidence	4	n/a	0.413
389.513	3.4	word	1	2	1.51
392.915	1.7	confidence	2	n/a	0.512
394.934	3.4	word	2	1	1.236
398.336	1.7	confidence	3	n/a	0.624
401.638	3.4	word	2	2	1.521
405.041	1.7	confidence	1	n/a	0.486
406.943	3.4	word	2	2	1.324
410.345	1.7	confidence	1	n/a	0.403
413.147	3.4	word	*	2	*
416.549	1.7	confidence	1	n/a	0.664
418.35	3.4	word	1	2	1.848
421.753	1.7	confidence	2	n/a	0.442
426.839	3.4	word	2	2	1.361
430.242	1.7	confidence	3	n/a	0.447
437.364	3.4	word	1	1	1.501
440.765	1.7	confidence	4	n/a	0.454
onset	duration	trial_type	stimuli_response	correct_answer	reaction_time
2.219	3.4	word	2	1	2.449
5.621	1.7	confidence	2	n/a	0.629
8.44	3.4	word	1	1	1.978
11.842	1.7	confidence	3	n/a	0.662
14.644	3.4	word	2	2	1.33
18.047	1.7	confidence	2	n/a	0.476
22.15	3.4	word	2	1	1.733
25.552	1.7	confidence	1	n/a	0.641
29.055	3.4	word	1	1	1.692
32.457	1.7	confidence	4	n/a	0.692
34.842	3.4	word	2	1	1.323
38.245	1.7	confidence	2	n/a	0.789
44.165	3.4	word	1	1	1.386
47.568	1.7	confidence	3	n/a	0.59
50.57	3.4	word	1	1	1.405
53.973	1.7	confidence	4	n/a	0.5
56.773	3.4	word	2	1	1.687
60.16	1.7	confidence	1	n/a	0.402
63.079	3.4	word	2	2	1.921
66.481	1.7	confidence	2	n/a	1.412
70.285	3.4	word	1	2	1.868
73.687	1.7	confidence	2	n/a	0.411
77.089	3.4	word	2	2	1.682
80.491	1.7	confidence	2	n/a	0.688
83.094	3.4	word	1	1	2.137
86.496	1.7	confidence	2	n/a	0.365
88.297	3.4	word	1	2	1.666
91.7	1.7	confidence	4	n/a	0.762
94.702	3.4	word	2	1	1.859
98.104	1.7	confidence	2	n/a	0.599
105.109	3.4	word	2	2	1.304
108.512	1.7	confidence	3	n/a	0.889
113.115	3.4	word	1	1	1.285
116.517	1.7	confidence	4	n/a	0.678
120.803	3.4	word	2	2	1.476
124.206	1.7	confidence	1	n/a	1.171
130.427	3.4	word	1	1	1.505
133.83	1.7	confidence	3	n/a	0.697
140.251	3.4	word	1	2	1.378
143.653	1.7	confidence	3	n/a	0.673
149.974	3.4	word	2	2	1.337
153.377	1.7	confidence	4	n/a	0.577
155.879	3.4	word	1	1	2.664
159.265	1.7	confidence	3	n/a	0.834
163.084	3.4	word	1	1	1.49
166.487	1.7	confidence	4	n/a	0.538
170.906	3.4	word	2	1	1.708
174.309	1.7	confidence	3	n/a	0.508
177.811	3.4	word	2	1	2.499
181.214	1.7	confidence	2	n/a	1.467
187.035	3.4	word	2	2	1.258
190.437	1.7	confidence	1	n/a	0.67
194.256	3.4	word	1	1	1.354
197.659	1.7	confidence	3	n/a	0.787
204.163	3.4	word	2	1	1.779
207.566	1.7	confidence	2	n/a	0.685
209.568	3.4	word	2	1	3.134
212.97	1.7	confidence	1	n/a	0.875
214.854	3.4	word	1	2	2.013
218.257	1.7	confidence	3	n/a	0.367
224.078	3.4	word	1	2	1.581
227.48	1.7	confidence	3	n/a	1.029
233.885	3.4	word	2	1	2.309
237.287	1.7	confidence	1	n/a	1.127
239.589	3.4	word	2	2	2.502
242.991	1.7	confidence	1	n/a	0.858
247.094	3.4	word	2	1	2.015
250.497	1.7	confidence	2	n/a	0.923
256.885	3.4	word	2	1	2.378
260.287	1.7	confidence	2	n/a	0.996
263.106	3.4	word	2	1	2.367
266.508	1.7	confidence	3	n/a	0.526
272.513	3.4	word	1	1	1.655
275.915	1.7	confidence	4	n/a	0.653
278.517	3.4	word	2	2	2.175
281.919	1.7	confidence	*	n/a	*
287.123	3.4	word	2	2	1.637
290.525	1.7	confidence	3	n/a	1.162
293.928	3.4	word	2	2	1.508
297.33	1.7	confidence	2	n/a	0.653
302.817	3.4	word	2	2	1.945
306.22	1.7	confidence	2	n/a	1.06
309.439	3.4	word	1	1	2.182
312.841	1.7	confidence	2	n/a	0.454
319.546	3.4	word	2	2	2.467
322.949	1.7	confidence	3	n/a	1.172
328.152	3.4	word	2	2	1.561
331.555	1.7	confidence	2	n/a	1.116
335.057	3.4	word	1	1	1.962
338.459	1.7	confidence	4	n/a	0.518
344.865	3.4	word	2	2	1.405
348.267	1.7	confidence	3	n/a	1.289
350.585	3.4	word	2	2	1.304
353.988	1.7	confidence	4	n/a	0.736
356.49	3.4	word	1	1	1.58
359.892	1.7	confidence	4	n/a	0.512
361.793	3.4	word	1	2	1.725
365.196	1.7	confidence	3	n/a	0.569
372.301	3.4	word	2	2	1.244
375.703	1.7	confidence	*	n/a	*
378.405	3.4	word	1	2	3.137
381.807	1.7	confidence	3	n/a	1.282
384.409	3.4	word	1	1	1.529
387.812	1.7	confidence	4	n/a	0.413
389.513	3.4	word	1	2	1.51
392.915	1.7	confidence	2	n/a	0.512
394.934	3.4	word	2	1	1.236
398.336	1.7	confidence	3	n/a	0.624
401.638	3.4	word	2	2	1.521
405.041	1.7	confidence	1	n/a	0.486
406.943	3.4	word	2	2	1.324
410.345	1.7	confidence	1	n/a	0.403
413.147	3.4	word	*	2	*
416.549	1.7	confidence	1	n/a	0.664
418.35	3.4	word	1	2	1.848
421.753	1.7	confidence	2	n/a	0.442
426.839	3.4	word	2	2	1.361
430.242	1.7	confidence	3	n/a	0.447
437.364	3.4	word	1	1	1.501
440.765	1.7	confidence	4	n/a	0.454
